representation,within_mean,within_median,between_mean,between_median,separation_mean,within_pairs,between_pairs
Omics 1,0.2130238373426418,0.2448063995859773,-0.0840773855012036,-0.1234273342904036,0.2971012228438455,121666,260709
Omics 2,0.1477299445754192,0.2033218837282345,-0.0660695791052765,-0.123130017141487,0.2137995236806957,121666,260709
Omics 3,0.0748286886476624,0.0648240575931072,-0.033386049687527,-0.0555224029094126,0.1082147383351895,121666,260709
TRIGEL,0.5264711553488723,0.6738729491061577,-0.1722591711214922,-0.2834475813057208,0.6987303264703646,121666,260709
