representation,overall_neighbor_purity,minority_neighbor_purity,minority_to_majority_neighbor_ratio,silhouette_cosine
mRNA,0.6978285714285715,0.508695652173913,0.043478260869565216,0.0797093197902039
DNA methylation,0.5792761904761905,0.28840579710144926,0.18695652173913044,-0.019175436886687956
miRNA,0.5939047619047619,0.1927536231884058,0.2797101449275362,0.014451780584386405
Early fusion,0.6790095238095238,0.4666666666666667,0.06811594202898551,0.05066803420021199
TRIGEL,0.8109714285714286,0.7797101449275362,0.015942028985507246,0.3918055025919662
