method,subtype_id,subtype,support,precision,recall,f1
MOHGCN,0,Normal-like,35,0.625,0.8571428571428571,0.7228915662650602
MOHGCN,1,Basal-like,39,0.9714285714285714,0.8717948717948718,0.918918918918919
MOHGCN,2,HER2-enriched,14,1.0,0.8571428571428571,0.9230769230769231
MOHGCN,3,Luminal A,131,0.9307692307692308,0.9236641221374046,0.9272030651340997
MOHGCN,4,Luminal B,44,0.9473684210526315,0.8181818181818182,0.8780487804878049
