,Subtype 0,Subtype 1,Subtype 2,Subtype 3,Subtype 4
Subtype 0,0.04576659038901602,0.015068038499834053,0.017013232514177693,0.011627443159154368,0.010766045548654244
Subtype 1,0.015068038499834053,0.08197298884321785,0.013607699966810488,0.0022760697527838083,0.002959962610998598
Subtype 2,0.017013232514177693,0.013607699966810488,0.12367149758454106,0.004936178699641005,0.010795622596864833
Subtype 3,0.011627443159154368,0.0022760697527838083,0.004936178699641005,0.020963830011599703,0.016897584721962178
Subtype 4,0.010766045548654244,0.002959962610998598,0.010795622596864833,0.016897584721962178,0.03242941012021247
