,Subtype 0,Subtype 1,Subtype 2,Subtype 3,Subtype 4
Subtype 0,300.0,227.0,90.0,583.0,182.0
Subtype 1,227.0,698.0,82.0,130.0,57.0
Subtype 2,90.0,82.0,128.0,99.0,73.0
Subtype 3,583.0,130.0,99.0,1988.0,1083.0
Subtype 4,182.0,57.0,73.0,1083.0,348.0
