rank,feature_index,target_label,target_subtype,target_n,other_n,target_mean,other_mean,target_minus_others,specificity_z,p_value,fdr,feature_name,gene_symbol,entrez_id
93,809,2,HER2-enriched,46,829,0.4152632402893675,0.35537660750174704,0.059886632787620464,0.6279018464517295,,,SKA3|221150,SKA3,221150
94,146,2,HER2-enriched,46,829,0.5172789855806771,0.4272255781188359,0.0900534074618412,0.6274995721548249,,,CAPN13|92291,CAPN13,92291
95,598,2,HER2-enriched,46,829,0.45341863143235156,0.39726203010629657,0.05615660132605499,0.6260439375152097,,,NCAPH|23397,NCAPH,23397
96,473,2,HER2-enriched,46,829,0.5024413399599149,0.4766749295875319,0.02576641037238303,0.625493108770245,,,KIAA1609|57707,KIAA1609,57707
97,175,2,HER2-enriched,46,829,0.4156147070296103,0.3458238391803621,0.0697908678492482,0.6250789847410306,,,CDC45|8318,CDC45,8318
98,860,2,HER2-enriched,46,829,0.4602309793158103,0.4166601011349806,0.04357087818082972,0.6199948596950735,,,STIL|6491,STIL,6491
99,604,2,HER2-enriched,46,829,0.32193535438451326,0.25689217111665247,0.0650431832678608,0.6188384610053573,,,NEIL3|55247,NEIL3,55247
100,96,2,HER2-enriched,46,829,0.4052562299130003,0.35694614337919345,0.04831008653380686,0.618599392363533,,,C15orf42|90381,C15ORF42,90381
101,61,2,HER2-enriched,46,829,0.18074806788359993,0.13076856839533557,0.049979499488264356,0.6184406552945663,,,B3GNT4|79369,B3GNT4,79369
102,183,2,HER2-enriched,46,829,0.5356884916544619,0.47998108783458643,0.055707403819875434,0.618084561537666,,,CDK1|983,CDK1,983
103,571,2,HER2-enriched,46,829,0.33149937657843387,0.2710515389724404,0.06044783760599348,0.6165972186673411,,,MND1|84057,MND1,84057
104,162,2,HER2-enriched,46,829,0.4863303111451876,0.4326836889244594,0.05364662222072819,0.6144230714069449,,,CCNA2|890,CCNA2,890
105,417,2,HER2-enriched,46,829,0.6249952208890598,0.6035883255636865,0.02140689532537332,0.6142486795579019,,,HDAC2|3066,HDAC2,3066
106,415,2,HER2-enriched,46,829,0.6603687046975284,0.6335264328548613,0.026842271842667076,0.612202084500626,,,H2AFZ|3015,H2AFZ,3015
107,590,2,HER2-enriched,46,829,0.6141248465039945,0.5939677941900745,0.020157052313919954,0.6115503591705004,,,NASP|4678,NASP,4678
108,960,2,HER2-enriched,46,829,0.495775473086603,0.4698973381774037,0.025878134909199324,0.6097863506284326,,,UQCRHL|440567,UQCRHL,440567
109,422,2,HER2-enriched,46,829,0.44645513706677514,0.38238979437546067,0.06406534269131448,0.6059081476295333,,,HJURP|55355,HJURP,55355
110,903,2,HER2-enriched,46,829,0.5528718666443709,0.46445748952689164,0.08841437711747929,0.605749149194627,,,TMC5|79838,TMC5,79838
111,55,2,HER2-enriched,46,829,0.6536504243051133,0.6353185055119458,0.018331918793167534,0.6052050956168544,,,ATP5C1|509,ATP5C1,509
