projection_1,projection_2,projection_method,subtype_id,subtype,Luminal subtype signature,HER2-enriched subtype signature,Basal-like subtype signature
7.0232387,7.3008895,PCA,2,HER2-enriched,-0.5644141570913579,0.8169385921091377,-0.44820218051373506
-5.3554688,3.7415462,PCA,4,Normal-like,-0.36191604093374286,-0.25625707591622426,0.3791021990643047
0.2297639,-5.380617,PCA,0,Luminal A,1.1702504581537794,-0.024380368676916245,-0.39883002088633823
-5.783795,-3.852337,PCA,3,Basal-like,-0.12547588543623145,-0.06407582980502224,0.7755504994703566
21.105156,1.7004375,PCA,1,Luminal B,1.7110176948548497,0.827760360380848,-1.759560289326652
-5.7633805,0.15043688,PCA,3,Basal-like,-0.6239060697144714,0.35917013552693045,-0.18994522434575448
-5.1491456,-4.4199743,PCA,3,Basal-like,-0.7157651268899452,-0.23310726090421313,0.37030418734547454
24.012707,2.8657908,PCA,1,Luminal B,1.6579767920536335,1.0702841032742019,-1.5480436282070764
13.608423,-1.8263118,PCA,1,Luminal B,1.699484114150371,0.3157396828904087,-1.2387645853588918
-7.70035,0.3602209,PCA,3,Basal-like,-0.9658088101233118,-0.6093203277468813,1.1895045054602165
20.780437,2.0084157,PCA,1,Luminal B,1.3403580995516602,0.9669722169033158,-1.4174709755180759
-5.9420805,-2.9022608,PCA,3,Basal-like,-0.4609240011398001,0.12563433003080987,0.7355412229813344
2.5604706,-4.0681953,PCA,0,Luminal A,0.9409103921841847,-0.09853156117345326,0.022878481720430374
23.005096,2.1072345,PCA,1,Luminal B,1.5073519353245604,1.0552841629598453,-1.4044732878200277
-1.3888947,-5.420052,PCA,3,Basal-like,0.28038551118179456,-0.2005452385639561,0.3808478756648402
1.9236232,-4.4259725,PCA,0,Luminal A,0.6607308029632897,-0.4145244239131079,-0.036027105828267875
-2.7705972,-5.9819965,PCA,3,Basal-like,0.28793577293414874,0.9329141313199947,-0.27647582320124864
