projection_1,projection_2,projection_method,subtype_id,subtype,Normal-like signature,Basal-like signature,Luminal subtype signature,HER2-enriched subtype signature
7.0232387,7.3008895,PCA,2,HER2-enriched,-0.6935672357870135,-0.3128705404444923,-0.7607340162502971,0.8169385921091377
-5.3554688,3.7415462,PCA,4,Luminal B,-0.7686887701546496,-0.10562084801200117,0.08522182491780264,-0.25625707591622426
0.2297639,-5.380617,PCA,0,Normal-like,1.9125242443361887,-0.24490611836700882,-0.16881899153621352,-0.024380368676916245
-5.783795,-3.852337,PCA,3,Luminal A,-0.34523216156634895,-0.6252435358271953,0.5325952058551007,-0.06407582980502224
21.105156,1.7004375,PCA,1,Basal-like,-0.1357845857708534,2.2760107685347486,-1.7586947922693577,0.827760360380848
-5.7633805,0.15043688,PCA,3,Luminal A,-0.9785376620710852,-0.31703156939920585,0.28807510034247397,0.35917013552693045
-5.1491456,-4.4199743,PCA,3,Luminal A,-0.33516757200028213,-0.12654197368116427,0.4058935079321478,-0.23310726090421313
24.012707,2.8657908,PCA,1,Basal-like,-0.3791596307660714,2.466681184763077,-1.7440491883433347,1.0702841032742019
13.608423,-1.8263118,PCA,1,Basal-like,0.1328799683681205,2.5417441745685676,-1.576184624496878,0.3157396828904087
-7.70035,0.3602209,PCA,3,Luminal A,-0.7261843829232252,-0.4738757090866107,1.0709847445955845,-0.6093203277468813
20.780437,2.0084157,PCA,1,Basal-like,-0.303534188222511,1.3922648989692994,-1.6251524930761754,0.9669722169033158
-5.9420805,-2.9022608,PCA,3,Luminal A,-0.37936962514342815,0.6395313139156847,0.7254494339220465,0.12563433003080987
2.5604706,-4.0681953,PCA,0,Normal-like,1.55709547444045,-0.05706813659843774,0.023287462618410065,-0.09853156117345326
23.005096,2.1072345,PCA,1,Basal-like,-0.31814747363652746,2.7847264172974557,-1.5747235212164834,1.0552841629598453
-1.3888947,-5.420052,PCA,3,Luminal A,1.0662939274006875,-0.06844085693110079,0.3624542732359832,-0.2005452385639561
1.9236232,-4.4259725,PCA,0,Normal-like,1.8980646283786278,-0.050909160343975385,0.054608526317723116,-0.4145244239131079
-2.7705972,-5.9819965,PCA,3,Luminal A,0.6051932616418022,-0.3171579867351889,-0.1839360729602858,0.9329141313199947
9.315581,4.4909196,PCA,2,HER2-enriched,-0.9257044730173807,1.0028951937243402,-1.2823378424685261,0.9212758740734632
-5.807162,4.9433694,PCA,3,Luminal A,-0.389059497415568,-0.2592903323256706,-0.02982700232267675,0.38302246722538685
-4.6906238,8.029829,PCA,4,Luminal B,-0.5520445655499788,-0.44643259850430317,0.26096665711706757,-0.13834316106550842
1.1905235,-5.2912865,PCA,0,Normal-like,0.9433879145134003,0.1609512127702176,0.46875839412017023,-0.10785851640618559
1.0769631,-4.3365397,PCA,1,Basal-like,1.112176458774205,-0.10080513055893167,-0.2771170110155696,-0.5011509813681496
0.7546303,-4.971539,PCA,3,Luminal A,1.4899877710700804,-0.09355450639287663,-0.42553043038842603,0.10054199541328893
-4.8746843,8.575359,PCA,4,Luminal B,-0.6703447864271762,-0.3329776781084557,0.42897385734409915,-0.15520737947775412
3.5386453,-4.1001334,PCA,0,Normal-like,1.5034231566891403,-0.11012376644069874,-0.28047207137399843,0.37362709096399477
1.1836339,-4.661829,PCA,4,Luminal B,1.6507765597412678,0.4209895918307377,0.08740395176163038,-0.23078870809039354
