subtype_id,subtype,support_mean,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,imbalance_group
0,Luminal A,35.0,0.8371428571428572,0.05085731181859231,0.7559216147592382,0.01669831591266709,0.6930988525319287,0.043459972673699304,Intermediate
1,Luminal B,39.0,0.885897435897436,0.015507828687930762,0.9387976675305444,0.008747357756123442,0.9986111111111111,0.006211299937499416,Intermediate
2,HER2-enriched,14.0,0.85,0.02198525040182472,0.8557262331455879,0.03580579138036753,0.863994828700711,0.06303429060829051,Minority
3,Basal-like,131.0,0.8992366412213741,0.01959539707473545,0.9213237389960891,0.008410414726317098,0.9449800707882938,0.012508126509699945,Majority
4,Normal-like,44.0,0.8806818181818181,0.04163040324233218,0.8490819410264333,0.020761209051044463,0.8230362511123962,0.04682860016305152,Intermediate
