pathName,Hit Ratio,Pvalue,metabolit,count,Term,Category,LogP,FDR_qvalue
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CDC45,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CCNB2,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,NUP93,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,PSMD14,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,DBF4,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,NCAPH,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,ORC6,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,MCM10,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CENPN,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,GINS3,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CENPO,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,TUBA1C,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,TICRR,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,SGO1,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,TUBB,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CCNE1,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CDC6,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CDC25A,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CDC25B,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CDKN3,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CENPA,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CHEK1,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,MCM6,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,MYBL2,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,ORC1,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,RAD51,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,STIL,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,AURKA,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CDC45,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CCNB2,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,SPAG5,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,DBF4,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,NCAPH,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,DONSON,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,ANLN,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,TUBA1C,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,TICRR,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,EME1,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,TUBB,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,SKA3,25,GO:0000278,GO Biological Processes,-21.0074695973,6.891446195867474e-18
