feature_index,score,feature_name
491,0.9622178800036978,hsa-mir-934
126,0.8349618458203774,hsa-mir-18a
425,0.7796670587552652,hsa-mir-577
129,0.6943892038547462,hsa-mir-190b
80,0.6458584697864991,hsa-mir-135b
112,0.5891409796514915,hsa-mir-17
73,0.5063716966354719,hsa-mir-130b
479,0.5004931182662302,hsa-mir-877
20,0.4811003875142565,hsa-mir-106b
374,0.4742930583841156,hsa-mir-505
201,0.4603808280886532,hsa-mir-301b
393,0.4273072533169393,hsa-mir-519a-1
71,0.4179281807865471,hsa-mir-1307
68,0.40714891284374133,hsa-mir-1301
400,0.4056462068821845,hsa-mir-532
488,0.38877113623448006,hsa-mir-92a-2
125,0.3722999880952211,hsa-mir-188
368,0.3684709874085092,hsa-mir-500a
146,0.35691237078451565,hsa-mir-19a
430,0.35468068331815483,hsa-mir-584
234,0.3465901701770835,hsa-mir-3200
371,0.3458569121438325,hsa-mir-502
147,0.34559686000999623,hsa-mir-19b-1
157,0.34510559351461023,hsa-mir-20a
387,0.34501053161244455,hsa-mir-516a-2
386,0.3371945437596644,hsa-mir-516a-1
293,0.33669319102583833,hsa-mir-3682
397,0.3320733312082555,hsa-mir-522
484,0.33191274355007516,hsa-mir-9-1
369,0.3316429387786222,hsa-mir-500b
485,0.3301814329185919,hsa-mir-9-2
493,0.3274729622722868,hsa-mir-937
370,0.32332671822923625,hsa-mir-501
496,0.32063284281570387,hsa-mir-942
350,0.32046371796025586,hsa-mir-452
160,0.3167994388367437,hsa-mir-210
352,0.31278013890594986,hsa-mir-455
433,0.3124304140138096,hsa-mir-590
490,0.3103441077767759,hsa-mir-93
84,0.3079087935866477,hsa-mir-138-2
178,0.3013517276896236,hsa-mir-224
141,0.3008685718746424,hsa-mir-197
200,0.298592657660808,hsa-mir-301a
83,0.2968284978566245,hsa-mir-138-1
487,0.2920209128729831,hsa-mir-92a-1
325,0.283584179755449,hsa-mir-3934
394,0.28313676224210793,hsa-mir-519a-2
154,0.27582703528773395,hsa-mir-204
4,0.27448317822386076,hsa-let-7c
70,0.27022958835542155,hsa-mir-1306
244,0.26798426853123863,hsa-mir-324
486,0.26437980367162395,hsa-mir-9-3
351,0.26120154252350786,hsa-mir-454
123,0.25641524382583164,hsa-mir-186
23,0.2511946923362027,hsa-mir-10b
310,0.2499510397443707,hsa-mir-378
495,0.24758157623570562,hsa-mir-940
464,0.24681756834411347,hsa-mir-671
290,0.2465583746599991,hsa-mir-3677
501,0.2427536392721011,hsa-mir-99a
