,Subtype 0,Subtype 1,Subtype 2,Subtype 3,Subtype 4
Subtype 0,274.0,158.0,68.0,691.0,162.0
Subtype 1,158.0,669.0,77.0,216.0,125.0
Subtype 2,68.0,77.0,65.0,153.0,138.0
Subtype 3,691.0,216.0,153.0,1990.0,821.0
Subtype 4,162.0,125.0,138.0,821.0,368.0
