,Subtype 0,Subtype 1,Subtype 2,Subtype 3,Subtype 4
Subtype 0,0.0524790236460717,0.013076667772983738,0.014366729678638942,0.009613083366573594,0.009642117716651879
Subtype 1,0.013076667772983738,0.08714034057545508,0.019249917026219716,0.0016632817424189368,0.0027003167679285453
Subtype 2,0.014366729678638942,0.019249917026219716,0.13526570048309178,0.003340646190666135,0.01611949127477078
Subtype 3,0.009613083366573594,0.0016632817424189368,0.003340646190666135,0.023821575450806706,0.011327466766523122
Subtype 4,0.009642117716651879,0.0027003167679285453,0.01611949127477078,0.011327466766523122,0.04911005498089647
