,Subtype 0,Subtype 1,Subtype 2,Subtype 3,Subtype 4
Subtype 0,0.0418001525553013,0.010487885828078327,0.01285444234404537,0.013781412046270442,0.009582963620230702
Subtype 1,0.010487885828078327,0.07856723429242513,0.01277796216395619,0.0037817774353946353,0.006491146076751312
Subtype 2,0.01285444234404537,0.01277796216395619,0.06280193236714976,0.007628639808536099,0.02040816326530612
Subtype 3,0.013781412046270442,0.0037817774353946353,0.007628639808536099,0.020984920383844776,0.012809711040379455
Subtype 4,0.009582963620230702,0.006491146076751312,0.02040816326530612,0.012809711040379455,0.03429316932252353
