representation,within_mean,within_median,between_mean,between_median,separation_mean,within_pairs,between_pairs
Omics 1,0.21302383734264188,0.24480639958597739,-0.08407738550120365,-0.12342733429040362,0.29710122284384555,121666,260709
Omics 2,0.1477299445754192,0.2033218837282345,-0.06606957910527655,-0.12313001714148705,0.21379952368069574,121666,260709
Omics 3,0.07482868864766247,0.0648240575931072,-0.03338604968752705,-0.05552240290941268,0.10821473833518952,121666,260709
