feature_index,score,feature_name
783,1.2310257340413528,SFT2D2
332,1.1893322192372906,FOXA1
412,1.0699027914082682,IL17RA
549,1.0199531283399896,MIR128-1
843,0.9625641984361015,SNORD5
821,0.95744051491487,SNORA18
168,0.898828862775116,CCDC90B
543,0.8498889160536386,MIA
485,0.8193425322682404,LOC145837
479,0.8188282316384312,LOC100132215
911,0.7801860203076513,TLR1
114,0.7705350303977635,C1orf125
53,0.7495321679346479,ASF1A
553,0.7374261313105978,MIR135B
646,0.7265357062576119,PA2G4P4
99,0.7260085069212203,C14orf72
186,0.7142917126964544,CHI3L1
570,0.7112077840504142,MIR877
832,0.7096859061071913,SNORA8
725,0.7003573709249604,REP15
498,0.7002467680541778,LOC401127
712,0.6976895796620731,RALB
48,0.6875588867010317,ARL4C
539,0.6828224428060071,MFI2
564,0.6824392303212417,MIR563
341,0.6822883406222198,FUT4
606,0.679378599402947,NFE2L3
255,0.679268044502342,DLGAP5
948,0.6719724816534944,UBAC2
572,0.6637609380406883,MKL2
452,0.6607686597334477,KRTDAP
365,0.6599036646241699,GPR37L1
258,0.6597603408883184,DNALI1
308,0.6589226309514018,FAM57A
388,0.6559281960650758,HIST1H1A
888,0.6552006995686066,TAS2R13
283,0.6506108915916954,ENO1
883,0.6486961399926876,TAF1B
182,0.6449791259221668,CDKN2BAS
19,0.6398480084620594,AGR3
955,0.633785034080589,UGT2B15
116,0.6274857323849675,C1orf174
297,0.6207877646803877,FABP7
903,0.6207704994622042,TFF1
986,0.6156623372405619,ZNF212
623,0.6149111147311738,NR2F6
928,0.6147762164980585,TMPRSS5
113,0.6142523682207529,C1orf110
222,0.6139141411275599,CST9L
575,0.6078312212308823,MLXIP
846,0.6061466755615291,SNORD93
550,0.5980315031699712,MIR1280
946,0.597007613439512,TTC36
76,0.5954931256806448,BIN2
849,0.5907937550686782,SNX10
406,0.5898749432870394,IGFALS
954,0.5798814531735864,UGT2B11
778,0.5780467689859313,SF3B3
720,0.5767117159463537,RBM38
319,0.5750323743242474,FCGR2B
827,0.5745288693879617,SNORA5B
551,0.5743959724925374,MIR1304
464,0.5691378556630973,LEMD2
820,0.5642006899654907,SNORA1
508,0.5595411988346791,LPHN1
101,0.5584223391487928,C15orf50
942,0.5558678949903967,TRIM16L
147,0.553084590195661,C6orf223
343,0.5523823981207103,FXR1
770,0.5515205200326088,SEMA6B
574,0.5473496856220549,MLPH
225,0.5467348544056219,CSTT
998,0.5464674922301864,ZP4
526,0.5454261613281547,MALL
352,0.5425180487761042,GFPT1
478,0.5413167630197068,LOC100130331
391,0.5354501812133039,HLTF
233,0.5344882962528652,CYP20A1
84,0.5342776591408693,BRF2
306,0.5320740820939573,FAM198B
252,0.53091070907405,DHCR7
290,0.5288506491210001,ESYT2
746,0.5287114322754425,RPS15A
557,0.5277363978170193,MIR1914
884,0.5276874041382319,TAGLN
181,0.5258368988311303,CDKN2B
972,0.525587209272764,WWP2
277,0.5226255832383028,ELANE
687,0.5223178431897281,PPAN-P2RY11
739,0.5197597243278531,RNF2
425,0.5174838267135714,ITGB8
12,0.5167839308606011,ADAMTSL5
4,0.5154485235186896,ABCC11
385,0.5137296079556456,HGFAC
531,0.5127237918239945,MEIS3
162,0.5108452722588246,CASP2
514,0.5105186359399444,LRRC47
30,0.510279694240971,ANGEL2
645,0.5087521260594344,P2RY11
105,0.5084060217672798,C16orf68
659,0.5073195399827017,PCMT1
964,0.5063934932213107,VKORC1
220,0.504486183428141,CST7
337,0.5035487234391369,FRMPD1
513,0.502620212704498,LRRC25
788,0.5025958979167968,SIK1
588,0.5016556755867957,MXD3
470,0.5015008881787241,LIMK1
808,0.49894424585675146,SLC7A5P1
568,0.4987517183130781,MIR647
503,0.49802934234024915,LOC727677
717,0.4976265992959226,RARG
227,0.4974890991850773,CTPS
438,0.4972834729891654,KIAA1147
760,0.4961969381658584,SAMD8
809,0.49448471675807154,SLC7A5P2
595,0.4943192069666231,NACAP1
902,0.49001000686766627,TF
359,0.487377361672424,GOSR1
15,0.48728690331373825,ADCY4
966,0.48689793765098144,VWCE
585,0.486117969165509,MTHFSD
552,0.4860408534409304,MIR135A2
707,0.4858873368992384,PVR
672,0.4845178131829898,PIGB
976,0.48405828533713746,ZBTB43
366,0.4819910639294136,GPRIN2
192,0.4812663581747182,CHST4
79,0.48100967203274286,BLID
779,0.4803207486045363,SFRS13A
384,0.4795828435091705,HGC6.3
34,0.4787234129035501,ANXA8L2
833,0.47739606827288217,SNORA80B
475,0.4764421680611409,LOC100128675
932,0.47591113534657525,TNFSF13B
892,0.4747104458942358,TBC1D23
806,0.47383166330141563,SLC7A13
0,0.47279947668260847,A2LD1
242,0.47187727585074685,CYTL1
854,0.4704479544379262,SOSTDC1
427,0.46970232114969007,ITPRIP
270,0.46968290456039846,EEF1A2
540,0.46922404927056555,MFSD1
996,0.46908981950728823,ZNF671
1,0.46772831020198874,A2ML1
433,0.46719647939545356,KCTD3
345,0.46645915219401324,FZD7
303,0.4664575228693643,FAM177B
582,0.4656927258500347,MS4A5
740,0.46543729346502205,RNF216
221,0.4640158128002171,CST8
565,0.4628374172693542,MIR623
177,0.4618245946079437,CDH26
499,0.459872383463215,LOC440335
130,0.4589511138931907,C22orf31
627,0.458818008198927,ODC1
938,0.4587629916898127,TPSD1
228,0.45875810502053804,CTSA
150,0.45815330711954494,C7orf30
229,0.45647931482468207,CUL9
7,0.45516481568243955,ACSM2A
411,0.45465548721757193,IL15RA
396,0.45406291596211146,HOXA10
866,0.45337284526147625,SPP2
409,0.4531276189435674,IGSF21
863,0.4528398212246051,SPDEF
