feature_index,score,feature_name
309,1.7515966377296115,ESR1|2099
881,1.4008897957718356,TBC1D9|23158
361,1.350033165784314,FOXC1|2296
125,1.3364103615577763,C6orf97|80129
570,1.2546213315323194,MLPH|79083
307,1.1826832297924745,ERBB4|2066
800,1.1633426482892966,SFRS13B|135295
22,1.1203550040619081,AGR3|155465
277,1.0990525665833775,DNALI1|7802
892,1.0362240916919967,TFF3|7033
47,1.0119047474714773,ART3|419
216,0.9786672147167027,CMBL|134147
403,0.976665857980323,GPR77|27202
699,0.9688556841926197,PRR15|222171
20,0.9631224600078647,AFF3|3899
246,0.9605338292740276,CXorf61|203413
705,0.9588576890991233,PSAT1|29968
507,0.9558869080570471,LEMD1|93273
548,0.9459301555524412,MAPT|4137
424,0.9391312561432321,HORMAD1|84072
138,0.9390360246933487,CA12|771
894,0.9284223486419936,THSD4|79875
835,0.9243901338332553,SLC7A8|23428
369,0.9226536552796651,FZD9|8326
766,0.9066301777562797,ROPN1|54763
825,0.9059991054820324,SLC44A4|80736
614,0.9003008849958893,NOSTRIN|115677
333,0.8981458717108344,FAM47E|100129583
166,0.8884405063071161,CCNE1|898
784,0.8781826981983097,SCUBE2|57758
1,0.8774831070052597,A2ML1|144568
370,0.8721381546475575,GABBR2|9568
360,0.8603957290404974,FOXA1|3169
689,0.8453345139490702,PPP1R14C|81706
46,0.8393690812881767,ARSG|22901
702,0.8355390757933554,PRSS33|260429
378,0.8314496217708289,GATA3|2625
401,0.8304712514837091,GPR160|26996
457,0.8301410747454514,KCNJ11|3767
255,0.8280417511421774,DACH1|1602
48,0.8275240778560465,AR|367
132,0.8259088138344882,C9orf170|401535
238,0.8240746657072585,CT62|196993
807,0.8178954545171743,SIDT1|54847
2,0.8122046464057339,ABAT|18
976,0.8076670250483058,XBP1|7494
300,0.8030835234603473,EN1|2019
202,0.802285706889883,CHODL|140578
39,0.8004787189034295,ANXA9|8416
367,0.8004640776867656,FSIP1|161835
194,0.7990293733891741,CENPW|387103
816,0.7877523635160018,SLC22A5|6584
964,0.7835508218057623,VGLL1|51442
687,0.7706854112522521,POU4F1|5457
10,0.7652051324007357,ACADSB|36
62,0.7640034679531633,B3GNT5|84002
66,0.7619696654788017,BBS4|585
518,0.7618583281703906,LOC145837|145837
326,0.7609722618554482,FAM171A1|221061
980,0.7587549603258406,YBX1|4904
192,0.7575832032840274,CENPN|55839
867,0.7574221879898321,SUV39H2|79723
215,0.7546317811398887,CLSTN2|64084
