label,rank,gene,feature_name,target_minus_others_z
3,25,SUSD3,SUSD3|203328,0.9040839617028118
3,26,SCUBE2,SCUBE2|57758,0.9029457543720376
3,27,C9ORF116,C9orf116|138162,0.8999099873576106
3,28,AGR3,AGR3|155465,0.8989274125883222
3,29,CA12,CA12|771,0.8989018195018866
3,30,C14ORF45,C14orf45|80127,0.8962864513271662
4,1,DSN1,DSN1|79980,0.9250250260997211
4,2,C6ORF211,C6orf211|79624,0.8792795927454775
4,3,RACGAP1,RACGAP1|29127,0.8743778024994049
4,4,WDR67,WDR67|93594,0.873271911639865
4,5,WWP1,WWP1|11059,0.821056766004242
4,6,RAD54B,RAD54B|25788,0.8092005137005089
4,7,ATAD2,ATAD2|29028,0.7966921944678117
4,8,SPAG5,SPAG5|10615,0.7927574909443736
4,9,C12ORF48,C12orf48|55010,0.7843681222736701
4,10,EME1,EME1|146956,0.7781055714598115
4,11,CENPE,CENPE|1062,0.7749989424887684
4,12,PLK4,PLK4|10733,0.7722869682878855
4,13,ARHGAP11A,ARHGAP11A|9824,0.7716299745536078
4,14,PCNA,PCNA|5111,0.7643511881304522
4,15,DSCC1,DSCC1|79075,0.7441136537847134
4,16,GINS1,GINS1|9837,0.7196452290037588
4,17,AURKA,AURKA|6790,0.7144432989052845
4,18,C8ORF76,C8orf76|84933,0.7117753497724543
4,19,C15ORF23,C15orf23|90417,0.7086950297903494
4,20,SGOL2,SGOL2|151246,0.7050166440655713
4,21,CDC6,CDC6|990,0.7033631615157592
4,22,KPNA2,KPNA2|3838,0.6977347225115855
4,23,MAD2L1,MAD2L1|4085,0.6974350411135741
4,24,NEIL3,NEIL3|55247,0.6902046543523183
4,25,POLQ,POLQ|10721,0.6840621664243401
4,26,FAM72A,FAM72A|729533,0.6768242078531456
4,27,PRC1,PRC1|9055,0.6754139832931136
4,28,NCAPG2,NCAPG2|54892,0.6716947751594629
4,29,CCNB1,CCNB1|891,0.6678239610672213
4,30,ESR1,ESR1|2099,0.6640352049440849
