projection_1,projection_2,projection_method,subtype_id,subtype,Luminal marker score,Basal/proliferation score,HER2-enriched subtype signature
7.0232387,7.3008895,PCA,2,HER2-enriched,-0.27703330040281804,0.9064329198976502,0.8169385921091377
-5.3554688,3.7415462,PCA,4,Normal-like,0.4375502741035264,0.45672907630920134,-0.25625707591622426
0.2297639,-5.380617,PCA,0,Luminal A,0.14607448111039345,-0.40221654725804756,-0.024380368676916245
-5.783795,-3.852337,PCA,3,Basal-like,0.7786259628686705,-0.323140145222884,-0.06407582980502224
21.105156,1.7004375,PCA,1,Luminal B,-1.4598657814140636,1.4419726099561212,0.827760360380848
-5.7633805,0.15043688,PCA,3,Basal-like,0.43484239650690276,0.5302863048900589,0.35917013552693045
-5.1491456,-4.4199743,PCA,3,Basal-like,0.34066854750834225,-0.9213335397787312,-0.23310726090421313
24.012707,2.8657908,PCA,1,Luminal B,-1.7589623670945727,1.6939974502914943,1.0702841032742019
13.608423,-1.8263118,PCA,1,Luminal B,-1.6639069857174864,0.7434466416272677,0.3157396828904087
-7.70035,0.3602209,PCA,3,Basal-like,0.7683737502358096,-0.3745808006073347,-0.6093203277468813
20.780437,2.0084157,PCA,1,Luminal B,-1.7718186841884325,1.396703718758701,0.9669722169033158
-5.9420805,-2.9022608,PCA,3,Basal-like,0.880000901020222,-0.3404786781820244,0.12563433003080987
2.5604706,-4.0681953,PCA,0,Luminal A,0.35623665680130095,-0.4230468690911179,-0.09853156117345326
23.005096,2.1072345,PCA,1,Luminal B,-1.8723660413453607,1.4787308055156385,1.0552841629598453
-1.3888947,-5.420052,PCA,3,Basal-like,0.2092164706758989,-0.1900136216809601,-0.2005452385639561
1.9236232,-4.4259725,PCA,0,Luminal A,0.25080577219764083,-0.7235989300108201,-0.4145244239131079
-2.7705972,-5.9819965,PCA,3,Basal-like,-0.07844681907193128,0.18302951475056561,0.9329141313199947
9.315581,4.4909196,PCA,2,HER2-enriched,-0.7870752127731877,1.3085395573515293,0.9212758740734632
-5.807162,4.9433694,PCA,3,Basal-like,0.09878384060204166,0.4311449637071627,0.38302246722538685
-4.6906238,8.029829,PCA,4,Normal-like,0.02558749144847351,0.6370629132530664,-0.13834316106550842
1.1905235,-5.2912865,PCA,0,Luminal A,0.24887712469057663,-0.35283969574561924,-0.10785851640618559
1.0769631,-4.3365397,PCA,1,Luminal B,-0.057335544955898356,-1.1972526584675283,-0.5011509813681496
0.7546303,-4.971539,PCA,3,Basal-like,-0.12059834643548152,-0.3933935497110342,0.10054199541328893
-4.8746843,8.575359,PCA,4,Normal-like,0.21105816365325483,0.19801236837559322,-0.15520737947775412
3.5386453,-4.1001334,PCA,0,Luminal A,0.041927086230394504,-0.29060813533264007,0.37362709096399477
1.1836339,-4.661829,PCA,4,Normal-like,0.2887387485606615,-0.9671994812648306,-0.23078870809039354
-5.8170767,-3.7650228,PCA,3,Basal-like,0.0826343141964183,-0.2703344943561904,-0.41945862257767236
-5.334053,9.406887,PCA,4,Normal-like,0.6477750537027612,0.8024333890416168,0.2987690750300288
-6.6358714,7.768883,PCA,4,Normal-like,0.8640547336987762,0.044496013001267765,-0.054165918161229495
1.066006,-4.7505355,PCA,0,Luminal A,0.3603273414593484,-0.997678942527964,-0.14151534764329848
0.6114372,-5.1785994,PCA,0,Luminal A,0.12769286904636223,-0.6297211167710565,-0.3225478313702076
19.94865,0.792336,PCA,1,Luminal B,-1.2330253670516789,1.3855571459588818,0.9619736547903015
-6.219036,6.8595195,PCA,4,Normal-like,0.6106289448590674,0.7907120357563819,-0.14312128788502432
-0.33058563,-5.242099,PCA,3,Basal-like,0.0542521281852345,-0.3114137917300974,0.3988887903047026
0.9102558,-5.2130117,PCA,0,Luminal A,-0.12903605241655638,-0.3739635743402843,0.5641161807948484
-6.378472,1.7945032,PCA,3,Basal-like,0.6609849029209508,0.41438335219751615,-0.48351716946100187
20.671755,1.3868175,PCA,1,Luminal B,-1.741331854188519,1.2591319865891866,1.072961373462339
-1.4484178,6.91396,PCA,4,Normal-like,-0.19856149548963622,0.7988609136924052,0.6540229449216124
